Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
0.031163234,3.16E-02,0.460959926,0.463823031,0.209790474,0.211187277,0.395372152,0.395679084,5.68865947,5.617629111,4.129994209,4.078462742,3.31E-02,3.23E-02,0.63070023,0.628759219,5.548123093,5.589186378,7.954901396,8.169753554,0.10317269,1.07E-01,0.320191848,0.332249659,1.057515566,1.017177793,BBB+,4T24,BB,A
3.56E-02,3.21E-02,0.493483129,0.467716493,0.236437737,0.214725917,0.451230007,0.402098997,5.532305826,5.600317716,3.651367778,4.028775078,0.033664118,3.28E-02,0.621588379,0.62694073,6.192467976,5.669234171,8.790631625,8.181525534,5.41E-02,1.02E-01,0.331291563,0.333201833,0.319834492,0.845667061,BBB+,1T25,BB,A
3.64E-02,3.29E-02,0.497978492,0.473589461,0.241035663,0.219952783,0.45506702,0.412386856,5.417784471,5.570338744,3.543294331,3.942912428,0.563448056,0.165685286,0.614879691,0.624109358,6.308073549,5.792626591,0.815197656,6.248163454,3.22E-02,7.79E-02,0.344964971,0.334000164,0.308582275,0.671961153,BBB+,2T25,BB,A
0.032002608,3.38E-02,0.469256215,0.48041944,0.216881654,0.226036382,0.392722135,0.423597828,5.453008029,5.522939449,3.966317668,3.822743497,0.571273829,0.300369727,0.618050488,0.621304697,5.628050336,5.919178738,0.726025262,4.571688985,5.63E-02,6.14E-02,0.348475567,0.336230987,0.297562055,0.495873597,BBB+,3T25,BB,A
3.58E-02,3.50E-02,0.490964193,0.487920507,0.236756642,0.232777924,0.44861802,0.436909295,5.442635748,5.461433518,3.627591581,3.697142839,0.579381027,0.436941757,0.620059658,0.618644554,6.155462106,6.071013492,0.791365745,2.780805072,0.077313885,0.05497145,0.332067541,0.339199911,0.311575107,0.309388482,BBB+,4T25,BB,A
3.86E-02,3.57E-02,0.505725507,0.490981102,0.250873434,0.236386848,0.479799385,0.44405164,5.312777394,5.406551411,3.359865391,3.624267243,0.587784753,0.575471916,0.611674153,0.616165998,6.58852448,6.170027618,0.842080143,0.793667202,8.04E-02,6.16E-02,0.348149096,0.343414294,1.071474187,0.497298406,BBB+,1T26,BB,A
3.91E-02,3.64E-02,0.506582939,0.493132213,0.270519005,0.243757684,0.508076524,0.457304016,5.166677971,5.343774786,3.305701146,3.564868946,4.20E-02,0.445117854,0.608743168,0.614631867,7.286474928,6.414627962,11.81652069,3.543997961,7.05E-02,7.11E-02,0.359984162,0.347169091,0.190001853,0.467653301,BBB+,2T26,BB,A
3.38E-02,3.68E-02,0.47463121,0.494475962,0.237371036,0.248880029,0.424188361,0.465170572,5.212853735,5.283736212,3.745910444,3.50976714,91.24273338,23.11298274,0.609493623,0.612492651,6.85421477,6.721169071,0.429547007,3.469878397,5.51E-02,7.08E-02,0.363513005,0.350928451,0.192206324,0.441314368,BBB+,3T26,BB,A
3.63E-02,3.69E-02,0.488928226,0.49396697,0.242852028,0.250403876,0.453913747,0.466494504,5.290385478,5.245673645,3.541505528,3.488245627,90.02854354,45.47527337,0.611754704,0.610416412,7.468482299,7.049424119,0.461005689,3.387288383,2.90E-02,5.87E-02,0.34281158,0.353614461,0.199056107,0.413184618,BBB+,4T26,BB,A
3.91E-02,3.71E-02,0.504371259,0.493628408,0.256569911,0.251827995,0.486566882,0.468186378,5.197609108,5.216881573,3.292664881,3.471445499,88.80327422,67.52914574,0.60594202,0.608983379,8.160325071,7.442374267,0.496833786,3.300976793,1.33E-02,4.20E-02,0.353300525,0.354902318,0.21281846,0.198520686,BBB+,1T27,BB,A
3.90E-02,3.70E-02,0.503606274,0.492884242,0.256598917,0.248347973,0.481192159,0.461465287,5.156873645,5.214430492,3.26974874,3.462457398,88.80327422,89.71945634,0.598801316,0.606497915,7.525830863,7.502213251,0.495322674,0.470677289,-4.46E-05,2.43E-02,0.364865842,0.356122738,1.327554686,0.482908894,BBB+,2T27,BB,A
0.03360807,3.70E-02,0.469736841,0.49166065,0.228482858,0.246125928,0.409371217,0.457761001,5.19757566,5.210610973,3.74E+00,3.461493786,0.126603001,66.94042374,6.06E-01,0.605608862,6.340223865,7.373715525,303.3734444,76.20665164,-1.05E-02,0.007934698,0.363644675,0.356155656,1.326520334,0.766487396,BBB+,3T27,BB,A
3.56E-02,3.68E-02,0.480710511,0.489606221,0.22429936,0.241487761,0.418827496,0.448989438,5.2900361,5.210523628,3.59E+00,3.473196392,0.126603001,44.46493861,6.09E-01,0.604887067,6.19288438,7.054816045,317.0258694,155.3478676,-1.75E-02,-3.69E-03,0.344717127,0.356632043,1.424765227,1.072914676,BBB+,4T27,BB,A
