Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
30/06/2014,IQT365903927,0.033537736,0.207837,0.185824902,0.18481964,0.453792234,45.10482221,1.686523337,2.782833573,-25.5808,0.142634403,0.680572925,2.532720988,24.5856,0.050924544,0.232772,-0.261814642,0.59240982,0.308129989,206.1956829,1.701520981,2.092296575,-13.7611,0.17596642,0.881363943,2.184647753,33.808,NaN,AA-
30/09/2014,IQT365903927,0.049241679,0.266355,-0.692402293,0,0.363514926,58.47400376,NaN,3.420352565,5.239,0.194511579,0.766860886,2.273213312,36.252,0.046157125,0.234934,-0.257551669,0.34240982,0.358391784,128.9925479,1.696521766,2.596944822,-11.966,0.172269705,0.802540425,2.293807451,31.7845,NaN,AA-
31/12/2014,IQT365903927,0.049241679,0.266355,-0.692402293,0,0.363514926,58.47400376,NaN,3.420352565,5.239,0.194511579,0.766860886,2.273213312,33.908,0.041389707,0.237096,-0.253288695,0.09240982,0.40865358,51.78941299,1.686523337,3.101593069,-10.1709,0.168572991,0.723716906,2.40296715,29.8623,NaN,AA-
31/03/2015,IQT365903927,0.02047671,0.152955,-2.346245159,0.051966613,0.3916414,25.25641854,4.460822753,4.171195865,-34.0871,0.10441428,0.593559542,2.235887024,13.9536,0.038124451,0.2233755,-0.886306211,0.059196563,0.393115871,46.82731207,3.073673045,3.448683642,-12.297475,0.15901796,0.70196356,2.328758659,27.1748,NaN,AA-
30/06/2015,IQT365903927,0.02047671,0.152955,-2.346245159,0.051966613,0.3916414,25.25641854,4.460822753,4.171195865,-34.0871,0.10441428,0.593559542,2.235887024,13.8568,0.034859194,0.209655,-1.519323726,0.025983306,0.377578163,41.86521115,4.460822753,3.795774215,-14.42405,0.14946293,0.680210214,2.254550168,24.4926,NaN,AA-
30/09/2015,IQT365903927,NaN,-0.19409,NaN,NaN,NaN,-26.49607167,NaN,NaN,NaN,-0.390166422,NaN,NaN,0,0.030065033,0.09454375,-1.794964204,0.034644408,0.382265908,20.62269229,4.460822753,3.920914765,-20.9784,0.003293429,0.651326657,2.24832912,20.5728,NaN,AA-
31/12/2015,IQT365903927,0.042230857,0.317977,2.485370757,0.640644032,0.534476423,31.07622992,0.526075874,0.694380599,84.2708,0.201413777,0.566497523,3.843272927,0,0.027728092,0.10744925,-0.73570652,0.248192419,0.439253074,13.77324883,3.14924046,3.012257443,5.365533333,0.005018979,0.584538869,2.771682325,13.9052,NaN,AA-
31/03/2016,IQT365903927,0.027837916,0.280535,3.100678792,0.293299346,0.500850364,21.20718343,0.8467156,1.163207762,181.0912,0.118641268,0.443373362,3.266592252,0,0.030181828,0.13934425,1.079934797,0.328636663,0.475656062,12.76094005,1.944538076,2.009594742,77.09163333,0.008575726,0.534476809,3.115250734,13.8568,NaN,AA-
30/06/2016,IQT365903927,0.027837916,0.280535,3.100678792,0.293299346,0.500850364,21.20718343,0.8467156,1.163207762,181.0912,0.118641268,0.443373362,3.266592252,19.4928,0.032635563,0.17123925,2.895576114,0.409080908,0.51205905,11.74863128,0.739835691,1.006932041,148.8177333,0.012132473,0.484414749,3.458819144,19.4928,BB,AA-
30/09/2016,IQT365903927,0.02851565,0.260617,2.721559463,0.273577045,0.486972468,15.94920069,0.936059125,1.30450559,NaN,0.151255633,0.478502931,4.731715041,30.0044,0.031605585,0.284916,2.852071951,0.375204942,0.505787405,22.35994937,0.78889155,1.081325428,148.8177333,0.147487986,0.482936794,3.777043118,24.7486,BB,AA-
